ThermalExpansionCoefficient_composition_average,ThermalConductivity_difference,NUnfilled_composition_average,phi_arithmetic_average,NsValence_min_value,CovalentRadius_arithmetic_average,BCCvolume_padiff_arithmetic_average,NfUnfilled_composition_average,ThermalExpansionCoefficient_arithmetic_average,BCCvolume_padiff_composition_average,IonicRadii_arithmetic_average,SecondIonizationEnergy_composition_average,ElectronAffinity_composition_average,n_ws^third_composition_average,SpaceGroupNumber_arithmetic_average,NdUnfilled_composition_average,IonicRadii_composition_average,BoilingT_composition_average,HeatFusion_difference,HeatCapacityMolar_composition_average,NsValence_difference,ThirdIonizationEnergy_composition_average,BCCfermi_composition_average,NdValence_composition_average,SpecificHeatCapacity_composition_average
10.0525,415.5,6.65,4.411666666666667,1.0,142.5,0.1829166666666666,0.0,15.016666666666666,0.4175625,0.8200000000000001,14.130475,64.04,1.30125,214.66666666666669,5.875,0.99,3445.675,11.28,26.22425,1.0,24.397625,7.03217690625,2.875,0.32475
10.2075,415.5,6.6,4.254,1.0,146.20000000000002,0.2175,0.0,15.34,0.4175625,0.846,14.236675,64.405,1.28725,212.6,5.775,0.992,3446.375,10.0,26.142750000000003,1.0,24.480625,6.99632426575,2.975,0.3218
10.1475,415.5,6.65,4.220000000000001,1.0,147.4,0.1785,0.0,15.099999999999998,0.4078124999999999,0.826,14.192675,62.105,1.28825,219.6,5.825,0.987,3443.075,7.61,26.15725,1.0,24.338175,7.01187820025,2.925,0.3232
10.2275,415.5,6.55,4.274,1.0,145.8,0.1805,0.0,15.419999999999998,0.4083124999999999,0.854,14.292075,66.455,1.28725,218.8,5.725,0.994,3445.675,11.28,26.20575,1.0,24.564125,6.94409315425,3.025,0.3229499999999999
10.265,415.5,6.575,4.220000000000001,1.0,147.4,0.1785,0.0,15.099999999999998,0.4080625,0.826,14.295475,64.4625,1.28075,219.6,5.725,0.9915,3444.725,7.61,26.140750000000004,1.0,24.49265,6.960059357,3.025,0.3216
10.3825,415.5,6.5,4.0425,1.0,151.25,0.223125,0.0,15.925,0.4083124999999999,0.895,14.398275000000002,66.82,1.27325,217.25,5.625,0.996,3446.375,7.399999999999999,26.124250000000004,1.0,24.647125,6.90824051375,3.125,0.3199999999999999
10.538,415.5,6.52,4.0425,1.0,151.25,0.223125,0.0,15.925,0.41195,0.895,14.42248,66.062,1.2735,217.25,5.58,0.991,3437.57,7.399999999999999,26.1073,1.0,24.60966,6.9420394548,3.02,0.3287
10.83,415.5,6.4,4.0425,1.0,151.25,0.223125,0.0,15.925,0.405,0.895,14.5925,66.695,1.2785,217.25,5.4,0.9805,3422.75,7.399999999999999,26.0515,1.0,24.87895,6.907968533,3.1,0.33775
11.566,406.3,5.797499999999999,4.3100000000000005,1.0,139.8,0.0139999999999999,0.0,15.44,-0.1178874999999999,0.782,15.717515,59.87925,1.47115,212.6,4.75,0.757175,3858.575,10.29,24.9909,1.0,27.27313,5.261637340775,3.35,0.4262825
11.725,415.5,6.2,4.0425,1.0,151.25,0.223125,0.0,15.925,0.398375,0.895,14.98095,66.445,1.2889999999999997,217.25,4.95,0.9495,3375.5,7.399999999999999,25.906,1.0,25.3426,6.9074245715,3.05,0.3732499999999999
12.055,415.5,6.4,4.0425,1.0,151.25,0.223125,0.0,15.925,0.419875,0.895,14.907749999999998,62.78,1.285,217.25,4.95,0.94,3355.1,7.399999999999999,25.894,1.0,24.92345,7.0766912575,2.55,0.399
22.6,273.0,1.425,3.6375,1.0,145.75,-0.1624999999999999,0.0,22.275,-0.43275,0.8525,14.581525,-94.04,1.0905,217.25,0.0,0.8529999999999999,2036.125,2.8200000000000003,25.318575,1.0,46.850825,4.41127227325,0.5,0.733275
22.608,273.0,1.475,3.6375,1.0,145.75,-0.1624999999999999,0.0,22.275,-0.4188499999999999,0.8525,14.651094999999998,-92.03,1.0953,217.25,0.0,0.8483999999999999,2046.475,2.8200000000000003,25.301285,1.0,46.626215,4.45995877175,0.5,0.7358049999999999
22.616000000000003,273.0,1.525,3.6375,1.0,145.75,-0.1624999999999999,0.0,22.275,-0.40495,0.8525,14.720664999999997,-90.02,1.1001,217.25,0.0,0.8438,2056.8250000000003,2.8200000000000003,25.283995,1.0,46.401605,4.50864527025,0.5,0.7383350000000001
22.386000000000003,229.0,1.65,3.7,1.0,147.33333333333334,-0.2133333333333333,0.0,21.433333333333334,-0.4641999999999999,0.8966666666666667,14.57819,-77.595,1.0861,225.0,0.0,0.8603000000000001,2122.1000000000004,2.7600000000000016,25.34677,1.0,42.91658,4.511258333500001,0.5,0.70736
12.09,406.3,4.35,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.1802499999999999,0.815,17.0558,84.27,1.4335,217.25,3.6,0.7909999999999999,3808.25,10.29,24.887500000000003,1.0,30.08285,4.4638973185,5.9,0.3550999999999999
11.898,406.3,4.64,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.1853,0.815,16.811660000000003,80.755,1.4301,217.25,3.84,0.7905,3844.55,10.29,24.9103,1.0,29.49999,4.5270833214,5.46,0.36219
10.66255,406.3,5.6455,4.276000000000001,1.0,141.0,-0.025,0.0,15.2,-0.22462,0.762,15.799082,66.99855,1.43581,219.6,4.902,0.7891900000000001,3992.753,10.29,25.03593,1.0,27.4883525,4.693747360125,4.148,0.366442
12.782,281.0,1.6,4.6625,1.0,131.0,-1.48,0.0,13.05,-1.1558,0.7475,19.66784,169.7724,1.5165,225.5,0.0,0.7122,3123.69,38.91,24.04538,1.0,19.1206,6.2175432634,8.0,0.32228
19.93,418.4,1.8,4.18,0.0,150.6,0.102,0.7,14.0,0.0494999999999999,0.8580000000000001,16.08205,-117.47,1.2534999999999998,212.6,0.9,0.772,2001.8,8.259999999999998,26.10035,2.0,63.06895,4.114842634,2.6,0.7682999999999999
